Ruc,Empresa,Establecimiento,Giro,Resolución,Código Sala,Vigencia,Dirección,Distrito,Provincia,Departamento
20522263762,EVO MANAGEMENT S.A.C.,MITOS,,002025-2023,141235001,20/05/2027,Av. LARCO No. 261,TRUJILLO,TRUJILLO,LA LIBERTAD
20392708546,J Y M SLOTS S.A.C.,SALA LA FONTANA,,743,141412001,8/04/2026,Jr. MOQUEGUA No. 430,TARMA,TARMA,JUNÍN
20392722701,CAPA GAMES S.A.C.,JUMBO III,,1041,141413001,27/09/2025,Jr. HUANUCO No. 572 - 574,HUANUCO,HUÁNUCO,HUÁNUCO
20543578429,SLOT MACHINES R & P,LAS VEGAS,,2707,141430002,28/06/2028,Av. LAS PALMERAS No. 244 y Av. NICOLAS AYLLON No. 689,CHACLACAYO,LIMA,LIMA
20537493489,INVERSIONES WINDSOR S.A.C.,32 STREET,,001579,141450001,9/06/2026,Av. PERU No. 3238,SAN MARTÍN DE PORRES,LIMA,LIMA
20556974188,FLORIDA GAMING S.A.C.,ABANCAY I,,003366 - 2019,141452006,--,Av. ABANCAY No. 568-570,LIMA,LIMA,LIMA
20556974188,FLORIDA GAMING S.A.C.,RIMAC I,,000663,141452017,22/03/2026,Jr. TRUJILLO No. 300,RÍMAC,LIMA,LIMA
20544804074,INVERSIONES Y RECREACIONES LINERD S.A.C.,IMPODIST,,1801,141474001,7/07/2026,"Av. 15 DE JULIO LT. 07, HUAYCAN Mz. B",ATE,LIMA,LIMA
20529464178,RUBI GAMING S.A.C.,LAS VEGAS,,1993,141527001,26/05/2026,Calle LIMA No. 731,LA UNIÓN,PIURA,PIURA
20529464178,RUBI GAMING S.A.C.,MASARIS INCA,,002372 - 2017,141527004,9/08/2026,Av. LUIS GONZALES No. 628 - 628,CHICLAYO,CHICLAYO,LAMBAYEQUE
20529464178,RUBI GAMING S.A.C.,MASARIS SULLANA,,2014,141527005,5/08/2026,Av. SAN MARTIN No. 801 - 801,SULLANA,SULLANA,PIURA
20529464178,RUBI GAMING S.A.C.,MASARIS CHEPEN,,4076,141527006,23/12/2026,Jr. SAN PEDRO No. 238 - 238,CHEPEN,CHEPÉN,LA LIBERTAD
20529464178,RUBI GAMING S.A.C.,MASARIS TALARA,,3244,141527008,25/10/2026,"Av. GRAU, LOTE 91B Mz. A - A",PARIÑAS,TALARA,PIURA
20529464178,RUBI GAMING S.A.C.,MASARIS CHICLAYO,,002187 - 2017,141527010,20/07/2026,Av. JOSE BALTA No. 629 - 629,CHICLAYO,CHICLAYO,LAMBAYEQUE
20529464178,RUBI GAMING S.A.C.,EL ROYAL,,1469,141527011,22/08/2026,Jr. ICA No. 345 - 345,PIURA,PIURA,PIURA
20529464178,RUBI GAMING S.A.C.,MASARIS PIURA,,1279,141527012,19/07/2026,Av. LORETO No. 643 - 643,PIURA,PIURA,PIURA
20529464178,RUBI GAMING S.A.C.,MASARIS CAJAMARCA,,2886,141527014,22/09/2026,Jr. DEL COMERCIO No. 755 - 755,CAJAMARCA,CAJAMARCA,CAJAMARCA
20547686994,KAZOKU INVESTMENTS S.A.C,HUAYLAS,,003455,141578001,15/08/2027,Av. HUAYLAS No. 442 - 444 - 446,CHORRILLOS,LIMA,LIMA
20547941421,INVERSIONES GAMING ALELI S.A.C.,REAL PALACE,,229,141588001,22/12/2026,Calle PLAZA DE ARMAS No. 314,CHINCHA ALTA,CHINCHA,ICA
20547941421,INVERSIONES GAMING ALELI S.A.C.,DOLPHIN,,3814,141588003,1/12/2026,DANTE No. 869,SURQUILLO,LIMA,LIMA
20547941421,INVERSIONES GAMING ALELI S.A.C.,COLIBRÍ,,522,141588004,10/03/2026,Jr. LIMA No. 552,NASCA,NAZCA,ICA
20548009911,CASINO MOLLENDO S.A.C.,EL GALEON DE ORO,,971,141643001,24/04/2027,Calle AREQUIPA No. 209-A,MOLLENDO,ISLAY,AREQUIPA
20550264839,ELITE GAMING PERU S.A.C.,DELICHEFF,,004281,141647004,2/10/2027,Av. MARISCAL ANDRES A. CACERES MZ. C-8 Lt. 11,VENTANILLA,PROV. CONST. DEL CALLAO,CALLAO
20548462828,ALSHIR GAMING S.A.C.,LAS VEGAS,,002060,141655002,17/11/2025,Jr. CALLAO No. 984 - 990,MOYOBAMBA,MOYOBAMBA,SAN MARTÍN
20548462828,ALSHIR GAMING S.A.C.,MARC ANTHONY,,3437 - 2025,141655003,6/06/2029,Jr. PEDRO DE CANGA No. 440,MOYOBAMBA,MOYOBAMBA,SAN MARTÍN
20548462828,ALSHIR GAMING S.A.C.,PARAHONS,,001027,141655004,--,Jr. MOQUEGUA No. 460,TARMA,TARMA,JUNÍN
20548462828,ALSHIR GAMING S.A.C.,AMAZONAS,,002059,141655005,17/11/2025,Jr. AMAZONAS No. 560,CAJAMARCA,CAJAMARCA,CAJAMARCA
20546344631,SAWILA GAMING S.A.C.,GAMBINOS CHINCHA,,2589,141661002,26/08/2026,Av. MARISCAL BENAVIDES No. 327,CHINCHA ALTA,CHINCHA,ICA
20546344631,SAWILA GAMING S.A.C.,AMBAR PLACE,,4834,141661003,6/11/2027,Av. PACIFICO S/N MZ. A1 Lt. 6,NUEVO CHIMBOTE,SANTA,ÁNCASH
20546344631,SAWILA GAMING S.A.C.,ATLANTIC,,5068 - 2024,141661004,29/08/2028,Jr. MANUEL RUIZ No. 275,CHIMBOTE,SANTA,ÁNCASH
20550929318,QULLQI S.A.C.,GAMBINOS PAITA,,000612,141671003,25/04/2027,Jr. JUNIN No. 345,PAITA,PAITA,PIURA
20550929318,QULLQI S.A.C.,MASARIS PAITA,,4083,141671007,18/09/2027,Jr. JUNIN No. 370 - 380,PAITA,PAITA,PIURA
20550929318,QULLQI S.A.C.,LA TORRE DE BABEL,,5638 - 2024,141671008,24/09/2028,Calle LIMA No. 588 - 590 - 592,NASCA,NAZCA,ICA
20550929318,QULLQI S.A.C.,CARRUSEL,,000199,141671009,17/02/2026,Av. ALFONSO UGARTE No. 1220 - 1222 - 1224 - 1226,BREÑA,LIMA,LIMA
20551688225,CORPORACION BACARA SLOTS S.A.C.,ATLANTIS I,,002423-2024,141748003,10/05/2028,Av. JOSÉ DE LA RIBA AGÜERO No. 1434,EL AGUSTINO,LIMA,LIMA
20555356804,GALU GAMING PERU S.A.C.,TESORO INCA SLOT,,832 - 2025,141763001,10/02/2029,Av. ALCAZAR No. 848,RÍMAC,LIMA,LIMA
20563012839,OKANEKIN S.A.C.,MYTHIC-LOS OLIVOS,,005607,141813001,22/12/2027,Av. SANTIAGO ANTUNEZ DE MAYOLO No. 1099,LOS OLIVOS,LIMA,LIMA
20563013487,GAMING OKANE S.A.C.,MYTHIC ALFONSO UGARTE,,004516,141814001,17/10/2027,Av. ALFONSO UGARTE No. 1320 - 1322 - 1326,BREÑA,LIMA,LIMA
20556034991,NEGOCIACIONES JAMBOREE S.A.C.,GRAN ALADINOS,,2867,141818002,21/09/2026,Jr. DOS DE MAYO No. 1080 - 1080 - 1090 - 1090,HUANUCO,HUÁNUCO,HUÁNUCO
20556034991,NEGOCIACIONES JAMBOREE S.A.C.,TORRE DE BABEL,,404,141818003,4/11/2026,Jr. DOS DE MAYO No. 1095 - 1099,HUANUCO,HUÁNUCO,HUÁNUCO
20392960121,LIU JUBIN S.A.C.,FLAMENCO DE ORO III,,512,141821001,19/05/2026,Av. ANGAMOS ESTE No. 1293 - 1293,SURQUILLO,LIMA,LIMA
20565361598,ENTRETENIMIENTOS GISHI S.A.C.,WINNERS SAN JUAN,,1937 - 2025,141841001,20/03/2029,Av. PROCERES DE LA INDEPENDENCIA No. 1712 - 1714,SAN JUAN DE LURIGANCHO,LIMA,LIMA
20565456971,KINCORP GAMING S.A.C.,ARCADIA,,0001706,141844001,9/04/2028,Av. LA MOLINA No. 1105,LA MOLINA,LIMA,LIMA
20563720591,GOLDEN CITY S.A.C.,GOLDEN CITY,,001402,141852001,25/05/2026,Jr. JOSE OLAYA No. 738 - 740,VILLA MARÍA DEL TRIUNFO,LIMA,LIMA
20563720591,GOLDEN CITY S.A.C.,EKEKO,,005608,141852003,23/12/2028,Jr. DAMASO BERAUN No. 805,HUANUCO,HUÁNUCO,HUÁNUCO
20600015614,IMPERIAL SLOTS GAMING S.A.C.,LA FICHA DORADA,,000905,141869001,10/03/2027,Av. PERU No. 3049,SAN MARTÍN DE PORRES,LIMA,LIMA
20549245693,MENFIXA S.A.C.,MEMPHIS - PRO,,96,141890001,21/01/2026,Av. LOS PROCERES MZ. II-4 LT. 14 No. 7854,LOS OLIVOS,LIMA,LIMA
20600568796,TOKANET S.A.C.,MYTHIC TARAPOTO,,001372,141953001,19/12/2025,Jr. JIMENEZ PIMENTEL No. 137 - 139,TARAPOTO,SAN MARTÍN,SAN MARTÍN
20600637755,INVERSIONES KAMIYA S.A.C.,COLMENA,,002271,141956001,2/06/2027,Av. NICOLAS DE PIEROLA No. 840 - 844,LIMA,LIMA,LIMA
20600665163,OKANEFIORI S.A.C.,MYTHIC FIORI,,001034,141959001,--,Av. ALFREDO MENDIOLA S/N CENTRO COMERCIAL FIORI TDA. STAND No. 110A - 111A,SAN MARTÍN DE PORRES,LIMA,LIMA
20600143442,DGALU GAMING INTERNATIONAL S.A.C.,PAGAMONEDAS BONGOS,,001366 - 2016,141967001,11/05/2026,Jr. UCAYALI No. 379,CALLERIA,CORONEL PORTILLO,UCAYALI
20600735315,LIONS WYNN S.A.C.,GAMBINOS CAÑETE,,000966 - 2016,141979001,--,Av. RAYMUNDO RAMOS No. 460,IMPERIAL,CAÑETE,LIMA
20566485851,GANA ENTRETENIMIENTOS S.A.C.,GANA HUANUCO,,243,142008002,7/12/2026,Jr. 28 DE JULIO No. 1005 y Jr. DAMASCO BERAÚN No. 795,HUANUCO,HUÁNUCO,HUÁNUCO
20601105421,FUN PRO S.A.C.,HAVANNA,,001420,142011001,27/05/2026,Otro CENTRO COMERCIAL CAYMA LOCAL No. 23,CAYMA,AREQUIPA,AREQUIPA
20601108799,DIVERSIA ENTERTAINMENT S.A.C.,PALACIO ROYAL CHICLAYO,,001080,142013001,23/03/2027,Calle ELIAS AGUIRRE No. 598 - 598,CHICLAYO,CHICLAYO,LAMBAYEQUE
20601053277,BLADCAST S.A.C.,POKER MOON,,001575,142018001,9/06/2026,Av. SAN JUAN No. 607,SAN JUAN DE MIRAFLORES,LIMA,LIMA
20601296820,DOMOKANE S.A.C.,MYTHIC DOMINICOS,,001935,142037001,6/10/2026,Av. DOMINICOS y BOCANEGRA MZ. A Lt. 1,CALLAO,PROV. CONST. DEL CALLAO,CALLAO
20601087708,PADDINGTON S.A.C.,TREBOL SLOT,,002185,142038002,13/06/2027,Jr. HUMBOLT No. 1572,LA VICTORIA,LIMA,LIMA
20601267200,ENTRETENIMIENTOS DEL SANTA S.A.C.,SLOTS SAN FELIPE II,,3967,142049002,16/12/2026,Av. PACIFICO MZ. A Lt. 3,NUEVO CHIMBOTE,SANTA,ÁNCASH
